JOB_RUN_ID,SCORE_NAME,MODEL_RUN_DATE,SERVICE_TYPE,EXECUTION_TYPE,USECASE,Success,DASHBOARD_URL
1,regression_test,2021-02-26 10:43:07,Prepaid,Production,MultiNomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/b14db52b-1645-4749-804c-803a64555ae5/state/analysis
2,nbo_prediction_model,2021-03-01 10:43:07,Prepaid,Production,MultiNomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/b14db52b-1645-4749-804c-803a64555ae5/state/analysis
3,clv_prediction_model,2021-02-26 17:20:16,Prepaid,Production,Regression,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/2a9624ea-cf40-4599-85d9-e7bb24c253e7/state/analysis
4,clv_prediction_model,2021-02-27 17:20:16,Prepaid,Production,Regression,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/2a9624ea-cf40-4599-85d9-e7bb24c253e7/state/analysis
5,churn_exe_model,2021-02-27 17:19:52,Prepaid,Production,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/d1e13885-3b74-40c7-b3c2-d6afede6fd56/state/analysis
6,churn_exe_model,2021-02-28 17:19:52,Prepaid,Production,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/d1e13885-3b74-40c7-b3c2-d6afede6fd56/state/analysis
7,churn_exe_model,2021-02-27 17:17:10,Prepaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
8,churn_exe_model,2021-03-01 17:17:10,Prepaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
9,clv_prediction_model,2021-02-26 17:17:53,Prepaid,Training,Regression,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/0949be92-695d-4f5e-b99d-ade142460921/state/0
10,clv_prediction_model,2021-02-28 17:17:53,Prepaid,Training,Regression,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/0949be92-695d-4f5e-b99d-ade142460921/state/0
11,nbo_prediction_model,2021-02-27 17:18:43,Prepaid,Training,MultiNomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/036d8c5f-2a21-448c-943e-ba2991d39752/state/0
12,nbo_prediction_model,2021-03-01 17:18:43,Prepaid,Training,MultiNomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/036d8c5f-2a21-448c-943e-ba2991d39752/state/0
13,churn_28_apr,2021-04-28 11:09:52,Prepaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
14,churn_propensity,2021-05-10 09:55:41,Prepaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
